0,4001 South 700 East,d
1,1060 Dalton Ave S,a
2,1330 E 2100 S,d
3,1488 W 4800 S,e
4,177 W Price Ave,d
5,195 W Oakland Ave,d
6,2010 W 500 S,a
7,2300 Parkway Blvd,c
8,233 Canyon Rd,b
9,2530 S 500 E,d
10,2600 Taylorsville Blvd,e
11,2835 Main St,d
12,300 State St,b
13,3060 Lester St,c
14,3148 S 1100 W,c
15,3365 S 900 W,c
16,3575 W Valley Central Station Bus Loop,c
17,3595 S Main St,d
18,380 W 2880 S,d
19,410 S State St,b
20,4300 S 1300 E,d
21,4580 S 2300 E,d
22,5025 State St,f
23,5100 South 2700 West,e
24,5383 South 900 East #104,f
25,600 S 900 E,b
26,6351 South 900 East,f
